Term,Semester,Year,CRN,Subject,Number,Section,Title,Instructor,Credits,Max,Enroll,SectionType,ContactHours,InstructorType,CourseType
201030,Fall,2009,30120,CSIS,10,5F,Intro to Computer App-Lab,Bryant,0,9,9,Lab,2,F,B
201030,Fall,2009,30114,CSIS,10,7,Intro to Computer Applicat,Bryant,3,30,26,Lecture,2,F,B
201030,Fall,2009,30530,CSIS,10,3,Intro to Computer Applicat,Bryant,3,30,26,Lecture,2,F,B
201030,Fall,2009,30145,CSIS,10,7E,Intro to Computer App-Lab,Conway,0,15,15,Lab,2,P,B
201030,Fall,2009,30144,CSIS,10,3E,Intro to Computer Applicat,Cutler,3,30,30,Lecture,2,P,B
201030,Fall,2009,30118,CSIS,10,9F,Intro to Computer App-Lab,Lim,0,15,15,Lab,2,T,B
201030,Fall,2009,30121,CSIS,10,0H,Intro to Computer App-Lab,Lim,0,15,15,Lab,2,T,B
201030,Fall,2009,30532,CSIS,10,1F,Intro to Computer App - Lab,Liss,0,15,14,Lab,2,F,B
201030,Fall,2009,30116,CSIS,10,8T,Intro to Computer App-Lab,Liss,0,15,15,Lab,2,F,B
201030,Fall,2009,30531,CSIS,10,8H,Intro to Computer App - Lab,Liss,0,15,15,Lab,2,F,B
201030,Fall,2009,30115,CSIS,10,9,Intro to Computer Applicat,Liss,3,30,30,Lecture,2,F,B
201030,Fall,2009,30119,CSIS,10,13M,Intro to Computer App-Lab,White,0,15,14,Lab,2,P,B
201030,Fall,2009,30434,CSIS,11,05B,Prob Solving With Spreadsheets,Lederman,1,14,7,Lecture,1.5,T,B
201030,Fall,2009,30433,CSIS,11,05A,Prob Solving With Spreadsheets,Lederman,1,14,12,Lecture,1.5,T,B
201030,Fall,2009,30966,CSIS,19,3W,Computer Mediated Communicatn,Cotler,1,16,8,Lecture,1,F,N
201030,Fall,2009,31448,CSIS,19,WE,Computer-Mediated Communicatn,Cotler,1,16,17,Lecture,1,F,N
201030,Fall,2009,30952,CSIS,19,13T,Competitive Programming II,Diehl,1,9,6,Lecture,1,T,N
201030,Fall,2009,30126,CSIS,110,9F,Intro CS:3D Prog w/Alice-Lab,Diehl,0,16,9,Lab,2,T,M
201030,Fall,2009,30127,CSIS,110,2H,Intro CS:3D Progw/Alice-Lab,Egan,0,16,7,Lab,2,T,M
201030,Fall,2009,30163,CSIS,110,1F,Intro CS:3D Prog w/Alice-Lab,Egan,0,16,14,Lab,2,T,M
201030,Fall,2009,30125,CSIS,110,5H,Intro CS:3D Prog w/Alice-Lab,Egan,0,16,15,Lab,2,T,M
201030,Fall,2009,30833,CSIS,110,9,Intro CS:3D Prog with Alice,Egan,3,32,15,Lecture,2,T,M
201030,Fall,2009,30122,CSIS,110,3,Intro CS:3D Prog with Alice,Egan,3,32,28,Lecture,2,T,M
201030,Fall,2009,30124,CSIS,110,5F,Intro CS:3D Prog w/Alice-Lab,Horowitz,0,16,13,Lab,2,T,M
201030,Fall,2009,30705,CSIS,110,4H,Intro CS:3D Prog w/Alice-Lab,Horowitz,0,16,16,Lab,2,T,M
201030,Fall,2009,30123,CSIS,110,7,Intro CS:3D Prog with Alice,Horowitz,3,32,30,Lecture,2,T,M
201030,Fall,2009,30153,CSIS,110,H10,Intro CS: MM Python Prg-Lab,Vandenberg,0,16,9,Lab,2,T,M
201030,Fall,2009,30926,CSIS,110,F9,Intro CS MM Python Prg-Lab,Vandenberg,0,16,10,Lab,2,T,M
201030,Fall,2009,30152,CSIS,110,11,Intro CS Multimedia Python Prg,Vandenberg,3,32,19,Lecture,2,T,M
201030,Fall,2009,31231,CSIS,112,3,Database Desgn and App for Bus,Garnsey,3,24,16,Lecture,3,T,N
201030,Fall,2009,30835,CSIS,112,7,Database Desgn and App for Bus,Yoder,3,16,16,Lecture,3,T,N
201030,Fall,2009,30437,CSIS,114,EH,Management Information Sys-Lab,Arunasalem,0,16,16,Lab,2,P,B
201030,Fall,2009,30537,CSIS,114,WE,Management Information Sys-lab,Arunasalem,0,16,16,Lab,2,P,B
201030,Fall,2009,30536,CSIS,114,13M,Management Information Sys-lab,Breimer,0,16,14,Lab,2,T,B
201030,Fall,2009,30436,CSIS,114,8T,Management Information Sys-Lab,Breimer,0,16,16,Lab,2,T,B
201030,Fall,2009,30534,CSIS,114,13,Management Information Systems,Breimer,3,32,30,Lecture,2,T,B
201030,Fall,2009,31346,CSIS,114,M9,Management Information Sys-Lab,Bryant,0,16,13,Lab,2,F,B
201030,Fall,2009,31348,CSIS,114,2T,Management Information Sys-Lab,Bryant,0,16,14,Lab,2,F,B
201030,Fall,2009,31345,CSIS,114,11,Management Information Systems,Bryant,3,32,27,Lecture,2,F,B
201030,Fall,2009,30943,CSIS,114,ET,Management Information Sys-Lab,Conway,0,16,16,Lab,2,P,B
201030,Fall,2009,30535,CSIS,114,5M,Management Information Sys-lab,Cotler,0,16,16,Lab,2,F,B
201030,Fall,2009,30533,CSIS,114,5,Management Information Systems,Cotler,3,32,32,Lecture,2,F,B
201030,Fall,2009,30435,CSIS,114,1M,Management Information Sys-Lab,Horowitz,0,16,16,Lab,2,T,B
201030,Fall,2009,30582,CSIS,114,8H,Management Information Sys-Lab,Horowitz,0,16,16,Lab,2,T,B
201030,Fall,2009,30428,CSIS,114,1,Management Information Systems,Horowitz,3,32,32,Lecture,2,T,B
201030,Fall,2009,30439,CSIS,114,10T,Management Information Sys-Lab,Liss,0,16,17,Lab,2,F,B
201030,Fall,2009,30942,CSIS,114,7,Management Information Systems,Liss,3,16,17,Lecture,2,F,B
201030,Fall,2009,30438,CSIS,114,WH,Management Information Systems,White,3,32,32,Lecture,2,P,B
201030,Fall,2009,30696,CSIS,120,2H,Intro to Programming - Lab,Lim,0,16,13,Lab,2,T,M
201030,Fall,2009,30695,CSIS,120,5,Intro to Software Development,Lim,4,32,22,Lecture,3,T,M
201030,Fall,2009,31418,CSIS,120,ME,Intro to Programming-Lab,White,0,16,9,Lab,2,P,M
201030,Fall,2009,30834,CSIS,200,4,Introduction to GIS,Yoder,3,16,10,Lecture,3,T,N
201030,Fall,2009,30129,CSIS,210,ME,Data Structures-Lab,Flatland,0,16,6,Lab,2,T,M
201030,Fall,2009,30165,CSIS,210,9M,Data Structures-Lab,Flatland,0,16,14,Lab,2,T,M
201030,Fall,2009,30128,CSIS,210,TW,Data Structures,Flatland,3,32,20,Lecture,3,T,M
201030,Fall,2009,30219,CSIS,220,9W,Comp Arch & Assemb Lan-Lab,Diehl,0,16,8,Lab,2,T,M
201030,Fall,2009,30218,CSIS,220,5W,Comp Arch & Assemb Lan-Lab,Diehl,0,16,9,Lab,2,T,M
201030,Fall,2009,30130,CSIS,220,4,Assembly Lang and Comp Archtcr,Diehl,4,32,17,Lecture,3,T,M
201030,Fall,2009,30697,CSIS,251,8,Discrete Structures,Matthews,3,32,28,Lecture,3,T,M
201030,Fall,2009,30676,CSIS,350,6,Database Management Systems,Vandenberg,3,16,16,Lecture,3,T,M
201030,Fall,2009,31228,CSIS,380,9W,Computer Graphics-Lab,Flatland,0,16,16,Lab,2,T,M
